"","Pathway","Type","Plantform","Leafspan","Tregion","Wregion","Wregion2","opt","Date","Time","Datacontrib","Species","Funtype","fitgroup","Location","RH","Tair","Tleaf","CO2S","PARin","Patm","BLCond","Trmmol","SWC","SWP","latitude","longitude","Totalheight","LAI","sampleheight","canopyposition","LWP","LWPpredawn","Instrument","Season","GrowthCa","GrowthTair","Growthcond","Treatment","OriginalFile","Comments","Reference","LightSource","Cond","Photo","VPD","Ci"
"7671","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","21/06/2009","14:00:25","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",32.58,21.12,25.58,396.51,1499,96.84,-9999,0.000555637,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.725,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.021410148,2.846956875,2.47,171.0120982
"7672","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","28/04/2009","14:18:12","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",31.9,24.04,25.05,394.87,1498,95.64,-9999,0.001483085,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.5,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.063099588,8.674137586,2.23,161.5577272
"7673","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","27/11/2009","14:48:39","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",39.64,20.77,20.25,393.65,1502,96.44,-9999,0.001251395,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.6,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.085926203,9.521028215,1.41,206.2131483
"7674","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","24/08/2009","9:50:27","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",57.73,27.96,31.36,397.66,1499,96.42,-9999,0.000967161,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-2.175,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.037514234,2.630700904,2.42,270.7305129
"7675","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","21/06/2009","10:07:53","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",45.53,23.06,24.94,393.25,1498,96.91,-9999,0.001085285,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.9,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.055371736,6.30917666,1.88,199.5301747
"7676","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","27/11/2009","16:33:44","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",38.88,17.93,15.99,398.19,1502,96.46,-9999,0.000373762,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.675,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.035083207,3.759996773,1.02,220.2039522
"7677","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","21/06/2009","8:53:38","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",44.45,21.86,24.81,393.48,1499,96.9,-9999,0.000954026,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.783333333,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.046274752,6.182406636,1.98,168.3895703
"7678","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","20/07/2009","9:28:37","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",49.6,26.49,31.89,300.33,1500,97.18,-9999,0.00064137,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-1.175,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.020027408,1.685618284,3.02,153.4544924
"7679","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","28/04/2009","9:47:39","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",24.49,26.28,24.25,394.81,1501,95.67,-9999,0.002679088,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.6,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.117251729,11.44980555,2.2,223.3472882
"7680","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","27/11/2009","11:34:02","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",40.36,22.08,20.82,389.45,1502,96.55,-9999,0.002137058,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.475,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.150602102,15.98740279,1.39,207.5134731
"7681","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","28/04/2009","15:18:06","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",28.73,24.22,23.18,392.09,1501,95.66,-9999,0.001822306,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.6,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.0881454,11.53586503,1.98,169.5564847
"7682","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","27/11/2009","15:42:58","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",40.67,19.03,17.54,393.77,1498,96.45,-9999,0.001053676,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.475,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.091815565,8.406782962,1.11,238.6739543
"7683","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","24/08/2009","11:01:40","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",56.44,26.1,31.51,300.95,1500,96.39,-9999,0.000340946,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-3.2,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.011667295,0.788573554,2.73,181.2575126
"7684","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","20/07/2009","12:40:15","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",29.31,30.95,37.5,398.29,1311,97.07,-9999,0.001169423,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-1.8,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.021218784,1.42974367,5.16,260.8395962
"7685","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","27/11/2009","12:42:31","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",40.07,21.5,20.38,392.97,1500,96.49,-9999,0.001322257,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.5,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.093385203,9.975361554,1.37,211.8939759
"7686","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","21/06/2009","12:55:21","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",34.05,22.48,26.5,397.8,1230,96.85,-9999,0.00105278,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.85,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.039507632,2.867254568,2.54,266.491788
"7687","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","28/04/2009","13:19:23","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",33.44,25.46,23.46,391.21,1500,95.66,-9999,0.002511868,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.541666667,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.13432351,11.48238429,1.81,241.0578561
"7688","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","20/07/2009","10:30:21","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",41.82,26.29,31.74,396.85,1285,97.15,-9999,0.001396978,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-1.455,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.040575951,4.212030532,3.27,212.4960414
"7689","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","5/7/09","5:24:08","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",25.19,22.93,25.39,387.87,1499,98.01,-9999,0.003391686,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-0.7,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.129664578,13.58594087,2.55,205.6538898
"7690","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","30/09/2009","7:07:07","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",8.73,23.48,25,395.6,1500,98.59,-9999,0.001373649,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-1.85,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.045959468,6.65614522,2.93,148.6201032
"7691","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","12/6/09","8:04:01","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",56.98,22.23,26.74,393.37,1500,99.01,-9999,0.001186722,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-0.6,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.058264578,7.088706398,1.99,186.879037
"7692","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","29/04/2009","8:56:01","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",23.27,21.33,20.81,398.75,1498,98.15,-9999,0.000330715,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-0.4,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.017114544,2.226602315,1.88,180.8877539
"7693","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","27/08/2009","13:43:20","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",19.71,30.12,36.05,399.57,1499,98.58,-9999,0.000666802,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-3.1,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.012381646,0.304754816,5.14,328.640013
"7694","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","27/08/2009","13:57:22","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",18.63,32.1,37.97,300.19,1499,98.56,-9999,0.000659348,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-3.1,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.01089284,0.208986095,5.75,243.0623998
"7695","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","2/12/09","14:56:49","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",35.93,17.71,17.3,391.56,1501,98.25,-9999,0.000838908,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-0.78,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.065961684,8.392343128,1.25,179.4250349
"7696","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","12/6/09","7:11:31","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",52.67,21.13,25.49,388.25,1500,99.03,-9999,0.00196053,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-0.515,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.099564423,11.19362904,1.95,195.4166239
"7697","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","29/04/2009","7:48:26","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",22.27,18.52,16.99,392.45,1515,98.09,-9999,0.00145263,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-0.5,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.098151802,10.86098044,1.47,204.724713
"7698","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","2/12/09","11:48:21","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",43.36,17.99,17.67,386.73,1502,98.38,-9999,0.001414861,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-0.76,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.124737924,13.04104495,1.13,209.7420677
"7699","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","4/7/09","12:35:02","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",64.77,31.96,36.68,392.4,1499,97.94,-9999,0.002437077,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-0.8125,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.074358682,8.73090804,3.11,186.3462573
"7700","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","29/09/2009","12:46:07","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",35.14,26.92,26.37,398.32,1498,98.65,-9999,0.000533321,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-1.816666667,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.023506072,1.418800203,2.2,288.7630126
"7701","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","29/04/2009","5:54:02","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",18.77,15.37,13.89,392.45,1500,98.03,-9999,0.00135827,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-0.4,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.106918273,11.27209338,1.26,213.8731832
"7702","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","23/07/2009","10:38:18","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",74.22,25.01,29.64,394.55,1502,97.94,-9999,0.00103419,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-1.45,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.054720227,6.11971432,1.81,204.5010334
"7703","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","2/12/09","13:37:05","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",35.68,18.83,19.18,393.13,1500,98.29,-9999,0.000871738,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-0.8,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.058924954,6.300369824,1.45,212.7873986
"7704","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","4/7/09","14:26:49","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",79.46,30.96,35.37,391.57,1501,97.88,-9999,0.00199888,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-0.85,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.08684868,8.988177731,2.19,211.8095003
"7705","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","12/6/09","15:20:34","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",49.2,22.28,25.14,390.18,1502,98.93,-9999,0.00194537,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-0.53,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.102496879,10.18900663,1.88,218.443129
"7706","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","30/09/2009","6:18:04","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",12.73,20.96,22.61,396.03,1502,98.57,-9999,0.001002577,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-1.816666667,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.040297386,5.649379808,2.44,158.7866965
"7707","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","24/07/2009","6:30:25","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",38.52,21.72,25.64,393.57,1500,98.47,-9999,0.001255267,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-1.4125,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.053252408,7.552486059,2.3,153.8072909
"7708","C3","angiosperm","tree","evergreen","temperate","humid",0.879,"opt","29/04/2009","6:57:32","Nicolas Martin-StPaul","Quercus ilex_StPaul_Puechabon","temperate evergreen","all","Puechabon_France",20.29,16.57,15.09,391.53,1499,98.05,-9999,0.001647711,-9999,-9999,43.73333333,3.583333333,"4.15","1.9",-9999,"top",-9999,-0.7,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Intermediate site of the gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.122922911,13.32405008,1.34,207.2665686
